horizon,signals,win_rate_pct,avg_return_pct,median_return_pct,p25_return_pct,p75_return_pct,avg_mfe_pct,median_mfe_pct,avg_mae_pct,median_mae_pct
5,16734,45.171507111270465,0.30488493697385244,-0.9191509770548667,-5.941503798159292,5.081102231610091,8.35944739096216,5.789947757933933,-6.763731967742613,-5.615994097892002
10,16734,43.259232699892436,0.41702726627614134,-1.810833827577285,-8.236562315135926,6.597773602071682,12.140898806337091,8.145459172570458,-9.284973810872547,-8.035252046315495
20,16734,43.599856579419146,1.5465991512008264,-2.3019075568598613,-10.959209246880484,9.600509770603239,17.591529726004758,11.52546377952044,-12.580641225283893,-11.146416019489031
60,16733,38.77965696527819,0.5501841899900863,-6.998158379373843,-20.28218694885362,12.868217054263575,31.084709406378067,20.05430087621869,-21.656587239181878,-20.0632911392405
