year,horizon,signals,win_rate_pct,avg_return_pct,median_return_pct,p25_return_pct,p75_return_pct,avg_mfe_pct,median_mfe_pct,avg_mae_pct,median_mae_pct
2023,5,1811,38.92876863611264,-0.5839630074881039,-1.8641810918774926,-6.715848819240056,3.3478500018951585,8.084061231793173,5.163043478260887,-7.270269057721598,-5.913978494623661
2023,10,1811,36.11264494754279,-1.5624854607822447,-3.7397945746642125,-9.489485141396392,3.782349222874992,11.070956513940187,6.811145510835925,-10.154818204014004,-8.82145377558221
2023,20,1811,32.85477636664826,-2.3454345265704912,-5.746691871455578,-13.130995604206209,3.9849549442261156,15.1928214750138,9.417596034696407,-13.612931077986996,-12.188190716766666
2023,60,1811,25.676421866372166,-6.4701498867661424,-11.666666666666659,-21.949546655960397,0.4145922746781161,22.333622724461982,12.951167728237788,-24.753644744037153,-23.572056239015826
2024,5,2968,49.29245283018868,0.5573569692247428,0.0,-4.589520186525953,4.83772619984264,7.256537041316107,4.946820531653429,-6.1307334929780914,-4.994596781547511
2024,10,2968,40.195417789757414,-0.7270728341278825,-2.131122176943301,-7.911448895641465,4.634218873909601,10.257319850923471,6.819951390697653,-8.805191576081203,-7.212815588276417
2024,20,2968,40.36388140161725,0.2327705437607595,-3.0157448655272368,-10.59746102349316,6.86894348683646,14.356366050329525,8.777981673788936,-12.826134433658671,-11.66256157635468
2024,60,2967,27.637344118638357,-5.788156368760797,-11.751662971175158,-22.750063598092886,2.2193927393389545,23.324322285261935,13.780918727915203,-20.38142597452195,-19.57340025094102
2025,5,6889,44.33154303962839,0.3119221521752663,-1.0752688172043112,-5.96291012838801,4.941860465116288,8.186735229560334,5.57735849056602,-6.5481962247625125,-5.5155308846108415
2025,10,6889,46.10248221802874,1.3155052865587316,-0.9551706571574115,-7.269155206286837,7.3232323232323315,12.123229505957015,8.184976118106801,-8.63296432577029,-7.567567567567579
2025,20,6889,44.46218609377268,1.6573572353257522,-1.8939393939393923,-10.308738880167445,9.724770642201829,17.570341848461826,11.914217633042101,-11.558935342649221,-10.089686098654715
2025,60,6889,50.64595732326897,8.298697854614353,0.5845254576218872,-14.139900071377575,20.64479638009049,33.06095619290504,23.070120490806588,-16.98178083888959,-15.193502150023885
2026,5,5066,46.131069877615474,0.4651469306922536,-0.8743807213194954,-6.443244025686912,6.127477370559764,9.338913702036324,6.861294527120898,-7.246603372507529,-6.082977979693749
2026,10,5066,43.74259771022503,0.5731606190150114,-2.0092238820684507,-9.26114895435947,7.877454595431388,13.650936635298159,9.689443245856133,-10.141744205612177,-8.805576211591248
2026,20,5066,48.164232135807346,3.557042075754589,-0.7142706298616242,-11.308862857741012,13.151208741281444,20.373209497094766,13.905819034742983,-13.457157423422183,-11.88239881567057
2026,60,5066,33.85313857086459,-3.7648235448652576,-11.072753425694604,-27.349346463703633,8.544964285930263,36.07067909783431,23.716577930567652,-27.653305285484027,-26.233445368714058
